post_date,month,year,date_precision,article_title,article_url,status,restaurant_name,address,city,notes,source_urls,lat,lng,geocode_status
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Ana’s Norwegian Bakeri,"6770 South Yosemite Street, Centennial, and 918 16th Street Mall",Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Comida,3350 Brighton Boulevard,Aurora,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Logan Street Restaurant,400 East Seventh Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,New Saigon,630 South Federal Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Red Lobster,"8268 East Northfield Boulevard; 810 South Wadsworth Boulevard, Lakewood; 4455 Wadsworth Boulevard, Wheat Ridge; 9067 East Westview Road",Lone Tree,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-01-01,January,2025,month,Restaurant Roll Call: Every Opening and Closing in 2024,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,closed,Renegade Brewing,925 West Ninth Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-2024-22947294/,,,no_result
2025-02-01,February,2025,month,Restaurant Roll Call: Every Opening and Closing in January,https://www.westword.com/food-drink/every-restaurant-opening-and-closing-in-denver-january-2025-23244427/,opened,Finch,"on the Fly, Denver International Airport, Concourse A",Denver,,https://www.westword.com/food-drink/every-restaurant-opening-and-closing-in-denver-january-2025-23244427/,,,no_result
2025-03-01,March,2025,month,Restaurant Roll Call: Every Opening and Closing in February,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-february-2025-23723606/,closed,Campfire,"840 Tabor Street, Lakewood, and 27883 Meadow Drive",Evergreen,,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-february-2025-23723606/,,,no_result
2025-05-03,May,2025,month,Restaurant Roll Call: Every Opening and Closing in April,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-april-2025-24424110/,closed,Pho on 6th,1312 East Sixth Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-april-2025-24424110/,,,no_result
2025-05-03,May,2025,month,Restaurant Roll Call: Every Opening and Closing in April,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-april-2025-24424110/,closed,Roberta’s,"Urban Cowboy Hotel, 1665 Grant Street",Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-in-april-2025-24424110/,,,no_result
2025-07-01,July,2025,month,Restaurant Roll Call: Every Opening and Closing for June,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-june-2025-24927243/,closed,Great Divide,2201 Arapahoe Street and 1812 35th Street,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-closing-june-2025-24927243/,,,no_result
2025-07-31,July,2025,month,Restaurant Roll Call: Every Opening and Closing in July,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,opened,The Bindery,"Concourse A, Denver International Airport",Denver,,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,,,no_result
2025-07-31,July,2025,month,Restaurant Roll Call: Every Opening and Closing in July,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,opened,Louis’ No. 3,11903 West Sixth Avenue Frontage Road,Lakewood,,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,,,no_result
2025-07-31,July,2025,month,Restaurant Roll Call: Every Opening and Closing in July,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,opened,Maria Empanada,"Concourse A, Denver International Airport",Denver,,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,,,no_result
2025-07-31,July,2025,month,Restaurant Roll Call: Every Opening and Closing in July,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,opened,Uncle,"Concourse A, Denver International Airport",Denver,,https://www.westword.com/food-drink/denver-restaurant-opening-closing-july-2025-25187021/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,Aloy Thai,1400 East Hampden Avenue,Greenwood Village,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/ | https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,Cherry Cricket,1280 East First Avenue,Broomfield,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,King Arthur Baking,"the Shops at River North Art District, 2800 Walnut Street, Suite #100",Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,Tessa Delicatessen,"Edgewater Public Market, 5505 West 20th Avenue",Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,opened,Town Pump Provisions,2810 East Third Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-09-01,September,2025,month,Restaurant Roll Call: All the Openings and Closings in August 2025,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,closed,Wild Taco,215 East Seventh Avenue,Denver,,https://www.westword.com/food-drink/every-denver-restaurant-opening-and-closing-august-2025-25440775/,,,no_result
2025-10-01,October,2025,month,Restaurant Roll Call: Every Opening and Closing in September,https://www.westword.com/food-drink/every-new-restaurant-in-denver-september-2025-40787823/,opened,Mama Kim’s Wellness Center,"8745 East Orchard Road, Unit 520",Greenwood Village,,https://www.westword.com/food-drink/every-new-restaurant-in-denver-september-2025-40787823/,,,no_result
2025-10-01,October,2025,month,Restaurant Roll Call: Every Opening and Closing in September,https://www.westword.com/food-drink/every-new-restaurant-in-denver-september-2025-40787823/,opened,Onto Coffee,"7150 West Alaska Drive, Lakewood,",Denver,,https://www.westword.com/food-drink/every-new-restaurant-in-denver-september-2025-40787823/,,,no_result
2025-10-04,October,2025,week,Every Opening and Closing This Week: Yardbird Flies the Coop in RiNo and More,https://www.westword.com/food-drink/rino-southern-spot-yardbird-closes-and-more-restaurant-news-40788785/,opened,Black Rock Coffee Bar,"14455 East Arapahoe Road, Aurora, and 10611 Westminster Boulevard",Westminster,,https://www.westword.com/food-drink/every-new-restaurant-in-denver-september-2025-40787823/ | https://www.westword.com/food-drink/rino-southern-spot-yardbird-closes-and-more-restaurant-news-40788785/,,,no_result
2025-10-11,October,2025,week,"Every Opening and Closing This Week: 14 New Spots, Including Catfish King on Colfax",https://www.westword.com/food-drink/new-restaurants-now-open-in-denver-including-catfish-king-40789382/,opened,XSO Night Club,"500 16th Street, Suite 322",Denver,,https://www.westword.com/food-drink/new-restaurants-now-open-in-denver-including-catfish-king-40789382/,,,no_result
2025-11-01,November,2025,month,Restaurant Roll Call: Every Opening and Closing in October,https://www.westword.com/food-drink/every-new-restaurant-in-denver-october-2025-40799019/,opened,The Hot Pot Den,5934 South Kipling Parkway,Littleton,,https://www.westword.com/food-drink/every-new-restaurant-in-denver-october-2025-40799019/,,,no_result
2025-11-01,November,2025,month,Restaurant Roll Call: Every Opening and Closing in October,https://www.westword.com/food-drink/every-new-restaurant-in-denver-october-2025-40799019/,opened,Wapo’s Cantina,215 East Seventh Avenue,Denver,,https://www.westword.com/food-drink/every-new-restaurant-in-denver-october-2025-40799019/,,,no_result
2025-11-08,November,2025,week,Every Opening and Closing This Week: New Japanese Spot on Colfax and More,https://www.westword.com/food-drink/colfax-japanese-spot-debuts-and-more-new-denver-restaurants-40802355/,opened,Broadway 10 Bar & Chophouse,2345 East Third Avenue,Denver,,https://www.westword.com/food-drink/colfax-japanese-spot-debuts-and-more-new-denver-restaurants-40802355/ | https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2025-11-29,November,2025,week,Every Opening and Closing This Week: Three New Spots to Try,https://www.westword.com/food-drink/3-new-spots-debut-in-denver-serving-shawarma-cocktails-and-coffee-40811162/,closed,Rosso Pomodoro,7505 East 29th Place and 8575 East Arapahoe Road,Denver,,https://www.westword.com/food-drink/3-new-spots-debut-in-denver-serving-shawarma-cocktails-and-coffee-40811162/ | https://www.westword.com/food-drink/new-denver-restaurants-and-bars-opened-in-november-2025-40812840/,,,no_result
2025-12-06,December,2025,week,Every Opening and Closing This Week: Pizzeria Shutters Two Locations and More,https://www.westword.com/food-drink/denver-and-boulder-locations-of-pizza-3-14-closed-and-more-40813466/,closed,Pizza 3.14,225 East 20th Avenue and 1313 College Avenue,Boulder,,https://www.westword.com/food-drink/denver-and-boulder-locations-of-pizza-3-14-closed-and-more-40813466/,,,no_result
2025-12-20,December,2025,week,Every Opening and Closing This Week: Five New Spots to Try,https://www.westword.com/food-drink/vinny-maries-debuts-in-arvada-and-more-new-denver-restaurants-40820101/,closed,Maggie and Molly’s,2908 East Sixth Avenue,Denver,,https://www.westword.com/food-drink/vinny-maries-debuts-in-arvada-and-more-new-denver-restaurants-40820101/,,,no_result
2025-12-27,December,2025,week,Every Opening and Closing This Week: Four Spots Shutter,https://www.westword.com/food-drink/4-closures-in-the-denver-restaurant-and-bar-scene-this-week-40822823/,closed,Mr. Lucky’s Sandwiches,3326 Tejon Street and 711 East Sixth Avenue,Denver,,https://www.westword.com/food-drink/4-closures-in-the-denver-restaurant-and-bar-scene-this-week-40822823/,,,no_result
2026-01-01,January,2026,month,Restaurant Roll Call: Every Opening and Closing in 2025,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,opened,7 Brew,"13792 East Mississippi Avenue, Aurora, and 4789 Airport Way",Denver,,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2026-01-01,January,2026,month,Restaurant Roll Call: Every Opening and Closing in 2025,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,opened,Après at Govnr’s Park,400 East Seventh Avenue,Denver,,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2026-01-01,January,2026,month,Restaurant Roll Call: Every Opening and Closing in 2025,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,opened,Blazing Bird,2485 South University Boulevard and 550 Broadway,Denver,,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2026-01-01,January,2026,month,Restaurant Roll Call: Every Opening and Closing in 2025,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,closed,Campfire,"27883 Meadow Drive, Evergreen and 840 Tabor Street",Lakewood,,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2026-01-01,January,2026,month,Restaurant Roll Call: Every Opening and Closing in 2025,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,closed,Caribou Coffee,"10611 Westminster Boulevard, Westminster; 1400 E Hampden Ave, Englewood; 2721 West 120th Avenue",Westminster,,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2026-01-01,January,2026,month,Restaurant Roll Call: Every Opening and Closing in 2025,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,closed,Colfax and Cream,1100 Broadway and 1238 East Colfax Avenue,Denver,,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2026-01-01,January,2026,month,Restaurant Roll Call: Every Opening and Closing in 2025,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,closed,Fruition,1313 East Sixth Avenue,Denver,,https://www.westword.com/food-drink/over-300-restaurants-and-bars-opened-in-denver-in-2025-40824433/,,,no_result
2026-01-10,January,2026,week,Every Opening and Closing This Week: Six New Spots to Try,https://www.westword.com/food-drink/6-new-denver-restaurants-open-including-cherry-creek-spanish-bistro-40827889/,opened,Denver Street Eats,"Concourse B, Denver International Airport",Denver,,https://www.westword.com/food-drink/6-new-denver-restaurants-open-including-cherry-creek-spanish-bistro-40827889/,,,no_result
2026-01-17,January,2026,week,Every Opening and Closing This Week: Longtime Staple Shut Its Doors and More,https://www.westword.com/food-drink/hudson-staple-the-pepper-pod-has-closed-new-denver-eateries-open-40830991/,opened,Fire Bowl Cafe,11435 East Briarwood Avenue,Englewood,reopened after November 2025 fire,https://www.westword.com/food-drink/hudson-staple-the-pepper-pod-has-closed-new-denver-eateries-open-40830991/ | https://www.westword.com/food-drink/over-20-new-denver-restaurants-and-bars-opened-in-january-2026-40837592/,,,no_result
2026-01-24,January,2026,week,Every Opening and Closing This Week: Five Additions to the Scene,https://www.westword.com/food-drink/new-denver-restaurants-opened-this-week-including-le-do-thai-40834202/,closed,Village Inn,"23 Centennial Boulevard, Littleton and 921 30th Avenue, Greeley",Denver,,https://www.westword.com/food-drink/new-denver-restaurants-opened-this-week-including-le-do-thai-40834202/,,,no_result
2026-01-31,January,2026,month,Restaurant Roll Call: Every Opening and Closing in January,https://www.westword.com/food-drink/over-20-new-denver-restaurants-and-bars-opened-in-january-2026-40837592/,closed,Village Inn,23 Centennial Boulevard,Littleton,,https://www.westword.com/food-drink/over-20-new-denver-restaurants-and-bars-opened-in-january-2026-40837592/,,,no_result
2026-03-14,March,2026,week,Every Opening and Closing This Week: Colfax Doubles Down on Dim Sum and More,https://www.westword.com/food-drink/colfax-dim-sim-spot-expands-and-more-new-denver-restaurants-40856391/,opened,Fat Sully’s Pizza,"Denver International Airport, Concourse A food court",Denver,,https://www.westword.com/food-drink/colfax-dim-sim-spot-expands-and-more-new-denver-restaurants-40856391/ | https://www.westword.com/food-drink/new-denver-restaurants-and-bars-opened-in-march-2026-40865816/,,,no_result
2026-03-21,March,2026,week,Every Opening and Closing This Week: Union Station’s New Eatery and More,https://www.westword.com/food-drink/union-station-korean-eatery-debuts-and-more-new-denver-restaurants-40858997/,opened,Sam’s Dumpling Kitchen,7541 South University Boulevard,Littleton,,https://www.westword.com/food-drink/union-station-korean-eatery-debuts-and-more-new-denver-restaurants-40858997/ | https://www.westword.com/food-drink/new-denver-restaurants-and-bars-opened-in-march-2026-40865816/,,,no_result
2026-03-28,March,2026,week,Every Opening and Closing This Week: Six Spots Debuted,https://www.westword.com/food-drink/new-denver-restaurants-including-west-highland-brunch-spot-paperboy-40863539/,opened,Chicken Riot,2906 East Sixth Avenue,Denver,,https://www.westword.com/food-drink/new-denver-restaurants-including-west-highland-brunch-spot-paperboy-40863539/ | https://www.westword.com/food-drink/new-denver-restaurants-and-bars-opened-in-march-2026-40865816/,,,no_result
